scientificName,vernacularName,eventDate,decimalLatitude,decimalLongitude,recordedBy,locality,country,countryCode,habitat,occurrenceRemarks,height,dbh,diameter,canopyCoverPercent,establishmentMeans,photo_tree,photo_leaf,photo_bark,photo_url
Neolamarckia cadamba,Kadamba,2025-01-26,16.8593,96.1951,Aung Kyaw,Yangon Watershed,Myanmar,MM,Moist secondary forest,Fast-growing tree near restoration nursery,17.6,29,35,63,managed,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,
Melaleuca cajuputi,Gelam,2025-01-27,2.1896,102.2497,Nur Afiqah,Melaka Peat Swamp Edge,Malaysia,MY,Peat swamp margin,Regenerating after ditch blocking,13.8,21,,71,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Eucalyptus deglupta,Rainbow Eucalyptus,2025-01-27,7.0728,125.6121,Carlo Mendoza,Davao Upland Farm,Philippines,PH,Farm woodlot,Introduced timber row planted by household,25.3,43,49,32,introduced,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Durio zibethinus,Durian,2025-01-28,5.9782,116.0735,Rizal Hakim,Tamparuli Agroforest,Malaysia,MY,Agroforestry terrace,Grafted fruit tree with dense pruning,15.7,33,39,46,managed,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Gmelina arborea,Gmelina,2025-01-28,10.6965,122.5631,Maria Santos,Iloilo Community Nursery,Philippines,PH,Nursery outplanting block,One year after field establishment,7.4,11,14,28,managed,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing
Pinus merkusii,Sumatran Pine,2025-01-29,3.1981,98.5037,Budi Santoso,Karo Highlands,Indonesia,ID,Montane plantation,Older stand on volcanic soils,29.2,46,,39,managed,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Toona ciliata,Australian Red Cedar,2025-01-29,-8.6521,115.2167,Wayan Sura,Ubud Mixed Garden,Indonesia,ID,Homegarden edge,Planted shade tree above irrigation channel,18.1,27,32,43,introduced,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Canarium odontophyllum,Dabai,2025-01-30,1.5535,110.3592,Siti Aminah,Kuching River Reserve,Malaysia,MY,Riverine mixed forest,Seasonal fruiting observed by local team,20.6,36,42,57,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing; https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing
Koompassia excelsa,Tualang,2025-01-30,5.3294,100.2941,Nur Afiqah,Penang Hill Reserve,Malaysia,MY,Primary forest remnant,Very tall emergent visible from ridge lookout,63.2,128,139,94,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Hevea brasiliensis,Rubber Tree,2025-01-31,1.4932,103.7414,Farid Bin Salleh,Lim Chu Kang,Singapore,SG,Smallholder plantation,Retained latex-producing block,17.4,24,30,31,introduced,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Pericopsis mooniana,Narra Sulawesi,2025-01-31,-5.1477,119.4327,Wayan Sura,Maros Karst Buffer,Indonesia,ID,Seasonal dry forest,Protected regeneration patch with limestone outcrops,19.7,32,37,48,native,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,
Anisoptera costata,Chhoeuteal,2025-02-01,11.4516,104.9288,Sok Dara,Phnom Tamao Forest,Cambodia,KH,Lowland semi-evergreen forest,Restoration planting surviving under partial shade,18.6,27,34,59,managed,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Dyera costulata,Jelutong,2025-02-01,3.7813,103.3294,Haji Omar,Pahang Peat Dome,Malaysia,MY,Peat swamp forest,Straight bole in rewetted compartment,34.4,53,61,76,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Falcataria moluccana,Sengon,2025-02-02,-7.8011,110.3647,Wayan Sura,Yogyakarta Farm Belt,Indonesia,ID,Farm woodlot,Short-rotation timber block near cassava field,14.2,20,26,34,managed,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Calophyllum inophyllum,Penaga Laut,2025-02-02,5.4142,100.3275,Nur Afiqah,Teluk Bahang Coast,Malaysia,MY,Littoral forest,Seedling cohort visible nearby on sandy berm,13.1,25,29,53,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Samanea saman,Rain Tree,2025-02-03,14.5548,121.0244,Liza Cruz,Marikina River Park,Philippines,PH,Urban river park,Large crown tree providing trail shade,24.8,96,108,62,uncertain,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Lithocarpus sundaicus,Stone Oak,2025-02-03,-6.7394,107.0108,Budi Santoso,West Java Highland Reserve,Indonesia,ID,Lower montane broadleaf forest,Natural recruit under closed canopy,22.3,35,41,67,native,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing
